"gene_ID","165_S165","166_S166","167_S167","168_S168"
"ENSG00000284733","11.6503340949935","12.2120552552863","0","4.93067301093158"
"ENSG00000187634","711.835413204102","632.991530732338","698.988800977697","606.472780344585"
"ENSG00000188976","1721.91937924004","2086.2261061114","2142.3784142068","1964.38012755514"
"ENSG00000187961","172.424944605904","184.198500100568","127.331717885109","154.823132543252"
"ENSG00000187583","0","16.2827403403817","0.890431593602162","0"
"ENSG00000187642","2.3300668189987","6.10602762764313","1.78086318720432","0"
"ENSG00000188290","719.990647070598","639.097558359981","502.203418791619","590.694626709603"
"ENSG00000187608","591.836972025669","545.471801402786","601.931757275061","646.904299034224"
"ENSG00000188157","7658.92963404872","4642.61633955132","7201.81072905428","5806.36053767303"
"ENSG00000131591","380.965924906287","213.710966967509","257.334730551025","253.436592761883"
"ENSG00000162571","18.6405345519896","15.2650690691078","16.9182002784411","1.97226920437263"
"ENSG00000186891","5.82516704749675","6.10602762764313","14.2469054976346","5.9168076131179"
"ENSG00000186827","8.15523386649544","4.07068508509542","6.23302115521513","9.86134602186316"
"ENSG00000078808","2236.86414623875","2365.06803444044","2602.73154809912","2304.59656530942"
"ENSG00000176022","1156.87817563285","999.353188390925","898.445477944581","853.99256549335"
"ENSG00000184163","20.9706013709883","14.247397797834","20.4799266528497","20.7088266459126"
"ENSG00000160087","1137.07260767136","992.229489492008","931.391446907861","938.800141281373"
"ENSG00000162572","483.48886494223","331.760834435277","284.04767835909","315.563072699621"
"ENSG00000131584","4254.70201149162","3185.31107908716","2930.41037454471","3367.64966646627"
"ENSG00000169972","263.297550546853","210.657953153688","261.786888519036","210.046670265685"
"ENSG00000127054","2095.89510368933","1828.75527447912","1929.56526333588","1768.13934172007"
"ENSG00000224051","1026.39443376893","835.508113715835","833.443971611624","855.964834697723"
"ENSG00000169962","12.8153675044928","12.2120552552863","9.79474752962378","15.7781536349811"
"ENSG00000107404","4566.93096523745","3562.86712072976","3814.60894699166","3984.9699274349"
"ENSG00000162576","708.340312975604","580.072624626097","880.636846072538","893.437949580803"
"ENSG00000175756","1924.63519249292","2201.22295976535","2521.70227308132","1920.00407045676"
"ENSG00000221978","3098.98886926827","2575.72598759413","2401.49400794503","2608.32602278281"
"ENSG00000242485","532.420268141203","682.857423024756","695.427074603288","553.221511826523"
"ENSG00000235098","1060.18040264441","953.557981183602","799.607571054741","678.460606304186"
"ENSG00000205116","8924.15591676501","9487.74926208615","12437.548499435","11105.8478898223"
"ENSG00000179403","5799.53631248776","6544.64394556216","8074.4336907844","7877.24320226429"
"ENSG00000215915","174.755011424902","123.138223824136","78.3579802369902","52.2651339158748"
"ENSG00000160072","971.637863522457","783.606878880868","713.235706475332","700.155567552285"
"ENSG00000197785","725.815814118095","697.10482082259","862.828214200495","645.918164432037"
"ENSG00000205090","269.12271759435","286.983298499227","202.127971747691","258.367265772815"
"ENSG00000160075","1937.45055999742","2144.23336857401","2097.85683452669","1836.18262927092"
"ENSG00000228594","939.016928056475","783.606878880868","779.127644401892","625.209337786125"
"ENSG00000197530","3252.77327932218","2424.09296817432","2397.93228157062","2497.87894733794"
"ENSG00000189409","20.9706013709883","21.3710966967509","21.3703582464519","14.7920190327947"
"ENSG00000248333","1385.22472389473","1390.13895656009","1643.73672178959","1536.39771020628"
"ENSG00000189339","5586.33519854938","3587.29123124034","3981.11965499527","3907.06529386219"
"ENSG00000008128","595.332072254167","598.390707509026","398.913353933769","548.290838815592"
"ENSG00000008130","1547.16436781514","1303.63689850181","1370.37422255373","1288.87792505752"
"ENSG00000078369","14138.8454576841","16419.1082907324","17541.5023939626","15050.3862985676"
"ENSG00000169885","29.1258352374837","0","3.56172637440865","6.90294221530421"
"ENSG00000178821","4.6601336379974","5.08835635636927","5.34258956161297","4.93067301093158"
"ENSG00000142609","109.513140492939","70.219317717896","61.4397799585492","44.3760570983842"
"ENSG00000187730","217.861247576378","129.24425145178","60.549348364947","81.8491719814643"
"ENSG00000067606","3629.07907059047","4170.41686968026","4656.95723453931","3684.19887376808"
"ENSG00000162585","1062.51046946341","930.151541944303","877.965551291732","832.297604245251"
"ENSG00000157933","5446.53118940946","4730.13606888088","5192.10662229421","4975.04906802997"
"ENSG00000116151","373.975724449291","394.856453254256","282.266815171885","346.133245367397"
"ENSG00000157916","2406.95902402566","2491.2592720784","2643.69140140482","2416.02977535648"
"ENSG00000157911","1405.03029185621","1417.61608088448","1802.23354545078","1432.85357697672"
"ENSG00000149527","2507.1518972426","2214.45268629191","3296.3777595152","2539.29660062976"
"ENSG00000157881","757.271716174577","702.19317717896","738.167791096192","746.503893855041"
"ENSG00000197921","271.452784413348","120.085210010315","116.646538761883","192.296247426332"
"ENSG00000157873","417.081960600767","310.389737738526","369.529111344897","359.939129798005"
"ENSG00000157870","2411.61915766365","2157.46309510057","2068.47259193782","1856.89145591683"
"ENSG00000142606","61.7467707034655","70.219317717896","144.24991816355","48.3205955071295"
"ENSG00000215912","302.908686469831","157.739047047447","205.689698122099","155.809267145438"
"ENSG00000142611","830.668820973036","522.065362163487","711.454843288127","745.517759252855"
"ENSG00000130762","202.715813252887","211.675624424962","154.935097286776","248.505919750952"
"ENSG00000162591","419.412027419766","356.184944945849","237.745235491777","435.871494166352"
"ENSG00000158109","3178.21114111422","3428.53451292162","3404.11998234106","3014.61347888357"
"ENSG00000116213","462.518263571242","367.379328929862","409.598533056994","377.689552637359"
"ENSG00000078900","140.969042549421","37.6538370371326","58.7684851777427","47.3344609049432"
"ENSG00000162592","3.49510022849805","2.03534254254771","2.67129478080649","2.95840380655895"
"ENSG00000235169","46.601336379974","53.9365773775143","114.865675574679","51.2789993136884"
"ENSG00000130764","2291.62071648522","2510.5950262326","2801.2977934724","2250.35916218917"
"ENSG00000116198","3052.38753288829","2668.33407328005","3247.40402186708","3306.50932113072"
"ENSG00000169598","357.6652567163","211.675624424962","207.470561309304","190.323978221959"
"ENSG00000198912","435.722495152757","436.580975376484","433.640186084253","430.94082115542"
"ENSG00000196581","2897.43808942488","3363.40355156009","2661.50003327686","4438.59184444061"
"ENSG00000131697","936.686861237477","853.826196598764","781.798939182698","715.933721187266"
"ENSG00000069424","6595.25413117582","6997.50766127902","6419.12135827798","5359.64156288263"
"ENSG00000116254","5105.17640042615","4932.65265186437","4022.96993989457","4010.60942709175"
"ENSG00000116251","2561.90846748907","3609.67999920836","3242.06143230547","3410.05345436028"
"ENSG00000158286","300.578619650832","197.428226627128","149.592507725163","299.78491906464"
"ENSG00000116237","2007.35256456738","2016.00678839351","2206.48948894616","2148.78729816398"
"ENSG00000173673","3.49510022849805","0","0","3.94453840874527"
"ENSG00000158292","389.121158772783","416.227549951007","343.706595130434","529.554281374052"
"ENSG00000097021","3774.70824677789","4089.00316797835","3937.48850690876","2784.84411657416"
"ENSG00000069812","1.16503340949935","0","3.56172637440865","0"
"ENSG00000187017","37.2810691039792","31.5478094094895","13.3564739040324","23.6672304524716"
"ENSG00000215788","200.385746433888","121.102881281589","80.1388434241946","142.989517317016"
"ENSG00000171680","736.301114803589","743.917699301188","522.683345444469","669.585394884509"
"ENSG00000162408","1300.17728500127","1256.82402002321","1342.77084315206","1301.69767488594"
"ENSG00000173662","2.3300668189987","0","6.23302115521513","2.95840380655895"
"ENSG00000204859","498.634299265721","462.02275715833","503.093850385221","395.439975476713"
"ENSG00000162413","4499.35902748649","3911.9283667767","4189.48064789817","4247.28173161646"
"ENSG00000116273","686.204678195117","724.581945146984","749.74340181302","697.197163745726"
"ENSG00000041988","446.207795838251","353.131931132028","394.461195965758","481.233685866922"
"ENSG00000007923","1610.0761719281","1762.60664184632","1639.28456382158","1659.66453547957"
"ENSG00000171735","7444.56348670084","9004.35540823107","7622.98487282811","6883.21952326049"
"ENSG00000049245","3747.91247835941","4188.73495256319","5982.80987741292","5410.92056219632"
